OWNER;TABLE_NAME;TABLE_TYPE;COMMENTS;ORIGIN_CON_ID;NUM_ROWS;ID;
COSWIN;JR_DEL_PARAM;TABLE;;0;0;279;
COSWIN;KIT_;TABLE;Encapsulates Kit business objects data and behaviour.;0;0;280;
COSWIN;KIT_ITEMS;TABLE;Encapsulates Kit_Items business objects data and behaviour;0;0;281;
COSWIN;LATE;TABLE;;0;437464;282;
COSWIN;LB_COLUMN;TABLE;;0;12817;283;
COSWIN;LB_CONFIGURATION;TABLE;;0;732;284;
COSWIN;LB_FILTER;TABLE;;0;1034;285;
COSWIN;LEVELS;TABLE;;0;4;286;
COSWIN;LEVELS_USR;TABLE;;0;306;287;
COSWIN;LIM_UNIT;TABLE;;0;0;288;
COSWIN;LINKED_JOBS;TABLE;Encapsulates data and behaviour of linked job business object.;0;0;289;
COSWIN;LOCATION_;TABLE;This class describes the behaviour of the stock item location business object.;0;29900;290;
COSWIN;LOCATION_INTRF;TABLE;;0;400234;291;
COSWIN;MES_DIR;TABLE;Keeps the details of the measurement job bussiness object.;0;0;292;
COSWIN;MES_FBACK;TABLE; Contains the data for a point reading (the feedback for an equipment measurement point).;0;0;293;
COSWIN;MES_PT;TABLE;This class maintains data for a measurement point defined for an equipment.;0;0;294;
COSWIN;METER_FEEDBACK_INTRF;TABLE;;0;24;295;
COSWIN;MICROSOFTDTPROPERTIES;TABLE;;0;0;296;
COSWIN;MODULE_;TABLE;Holds COSWIN modules which have reports associated for groups or users.;0;2061;297;
COSWIN;MODULE_INTRF;TABLE;;0;42;298;
COSWIN;M_AR_MCOD;TABLE;;0;26;299;
COSWIN;M_AR_MMET;TABLE;;0;21749;300;
COSWIN;M_AR_MMPT;TABLE;;0;0;301;
COSWIN;M_DLY_ATTD_INTRF;TABLE;;0;0;302;
COSWIN;M_DUP_WO_INTRF;TABLE;;0;0;303;
COSWIN;M_EQUIPMENT_DEFECT_INTRF;TABLE;;0;0;304;
COSWIN;M_IFCE_GLOBAL_PARAM;TABLE;;0;111;305;
COSWIN;M_INCOMING_MSG;TABLE;;0;0;306;
COSWIN;M_JOB_REQUEST_INTRF;TABLE;;0;2254595;307;
COSWIN;M_JR_DEL_PARAM;TABLE;;0;1;308;
COSWIN;M_MEASUREMENT_INTRF;TABLE;;0;0;309;
COSWIN;M_METER_FEEDBACK_INTRF;TABLE;;0;0;310;
COSWIN;M_OUTGOING_MSG;TABLE;;0;0;311;
COSWIN;M_SDS_RESEND_INTRF;TABLE;;0;5541;312;
COSWIN;M_STABCARFOREACHTRAIN;TABLE;;0;43;313;
COSWIN;M_TMP_DLY_ATTD_INTRF;TABLE;;0;0;314;
COSWIN;M_TMP_STK_TR;TABLE;;0;0;315;
COSWIN;M_TRAINALARM;TABLE;;0;950;316;
COSWIN;M_TRAINMETER;TABLE;;0;3283578;317;
COSWIN;M_TRAINMETER_BITLEN;TABLE;;0;2;318;
COSWIN;M_TRAIN_REF_INTRF;TABLE;;0;8055740;319;
COSWIN;M_WASHHIST;TABLE;;0;27795;320;
COSWIN;M_WIP_WO_STAB_STD;TABLE;;0;0;321;
COSWIN;M_WO_FEEDBACK_INTRF;TABLE;;0;62488;322;
COSWIN;NEG_INV;TABLE;Encapsulates Credit Note (purchase transaction) data and beaviour.;0;1521;323;
COSWIN;NEG_INV_CC;TABLE;Intersection between Credit Notes and CostCentres;0;1524;324;
COSWIN;NORM_DAT;TABLE;Keeps the data regarding a norm reading.;0;0;325;
COSWIN;NOTIFICATION;TABLE;;0;1;326;
COSWIN;NOTIF_USR;TABLE;;0;1;327;
COSWIN;NSITEM;TABLE;Encapsulates Non Stock Item business objects data and behaviour;0;39616;328;
COSWIN;OBJECTDEPENDENCIES;TABLE;;0;0;329;
COSWIN;OBJECTSTATUS;TABLE;;0;0;330;
COSWIN;ORDER_CHARGES_INTRF;TABLE;;0;850;331;
COSWIN;ORDER_INTRF;TABLE;;0;655;332;
COSWIN;ORDER_ITEM_INTRF;TABLE;;0;349;333;
COSWIN;ORDER_REMARKS_INTRF;TABLE;;0;287;334;
COSWIN;ORD_IT_CHARGES_INTRF;TABLE;;0;840;335;
COSWIN;ORD_IT_COST_CENTER_INTRF;TABLE;;0;168;336;
COSWIN;ORD_IT_REQUEST_INTRF;TABLE;;0;238;337;
COSWIN;ORD_IT_SCHEDULE_INTRF;TABLE;;0;168;338;
COSWIN;PACKAGE;TABLE;;0;0;339;
COSWIN;PACKAGED_ITEM;TABLE;;0;0;340;
COSWIN;PACKAGED_PO;TABLE;;0;0;341;
COSWIN;PARAMETER;TABLE;Table for general and maintenance, static parameters.;0;5;342;
COSWIN;PARAMETERS;TABLE;;0;310;343;
COSWIN;PARAMETER_INTRF;TABLE;;0;1;344;
COSWIN;PARENT_EQP;TABLE;Holds the equipment which have PMP data defined.;0;0;345;
COSWIN;PARG2;TABLE;Table for general parameters, like calendar configuration.;0;1;346;
COSWIN;PARM13;TABLE;Table for maintenance parameters, like job request prefix and serial number.;0;1;347;
COSWIN;PARM15;TABLE;Table for planned maintenance parameters.;0;1;348;
COSWIN;PARM16;TABLE;Table for Work In Progress parameters.;0;1;349;
COSWIN;PARM17;TABLE;Table for unplanned jobs prefix and serial number.;0;1;350;
COSWIN;PARM18;TABLE;;0;0;351;
COSWIN;PARM19;TABLE;;0;0;352;
