"LOCATION";"PR_LOCATION";"SYSTEM";"LOCATIONCODE";"PARENT";"DESCRIPTION";"TYPE";"STE_MIGRATIONID";"STE_MIGRATIONSOURCE";"ID"
L100000017202;;TRAIN;RTVV12/RF;RTVV12;;TRAIN;17103;FILE;97
L100000017204;;TRAIN;RTVV12/SA;RTVV12;;TRAIN;17105;FILE;98
L100000017208;;TRAIN;RTVV12/SD;RTVV12;;TRAIN;17109;FILE;99
L100000017212;;TRAIN;RTVV12/UC;RTVV12;;TRAIN;17113;FILE;100
L100000017217;;TRAIN;RTVV13/RF;RTVV13;;TRAIN;17118;FILE;101
L100000017219;;TRAIN;RTVV13/SA;RTVV13;;TRAIN;17120;FILE;102
L100000017223;;TRAIN;RTVV13/SD;RTVV13;;TRAIN;17124;FILE;103
L100000017227;;TRAIN;RTVV13/UC;RTVV13;;TRAIN;17128;FILE;104
L100000017232;;TRAIN;RTVV14/RF;RTVV14;;TRAIN;17133;FILE;105
L100000017234;;TRAIN;RTVV14/SA;RTVV14;;TRAIN;17135;FILE;106
L100000017238;;TRAIN;RTVV14/SD;RTVV14;;TRAIN;17139;FILE;107
L100000017242;;TRAIN;RTVV14/UC;RTVV14;;TRAIN;17143;FILE;108
L100000017247;;TRAIN;RTVV15/RF;RTVV15;;TRAIN;17148;FILE;109
L100000017249;;TRAIN;RTVV15/SA;RTVV15;;TRAIN;17150;FILE;110
L100000017253;;TRAIN;RTVV15/SD;RTVV15;;TRAIN;17154;FILE;111
L100000017257;;TRAIN;RTVV15/UC;RTVV15;;TRAIN;17158;FILE;112
L100000017262;;TRAIN;RTVV16/RF;RTVV16;;TRAIN;17163;FILE;113
L100000017264;;TRAIN;RTVV16/SA;RTVV16;;TRAIN;17165;FILE;114
L100000017268;;TRAIN;RTVV16/SD;RTVV16;;TRAIN;17169;FILE;115
L100000017272;;TRAIN;RTVV16/UC;RTVV16;;TRAIN;17173;FILE;116
L100000017277;;TRAIN;RTVV17/RF;RTVV17;;TRAIN;17178;FILE;117
L100000017279;;TRAIN;RTVV17/SA;RTVV17;;TRAIN;17180;FILE;118
