ID;PACKAGE_NAME;LOG_ID;EVENT;EVENT_TYPE;EVENT_DESCRIPTION;TIMESTAMP
1587;DB2_0307_PO_Invoice_InvoiceLine_InvoiceCost_CLEAN;1130;INVOICECOST;NOMATCH-SAPGL;CNT= 41;2024-12-20-04.46.47.394000
1588;DB2_0307_PO_Invoice_InvoiceLine_InvoiceCost_CLEAN;1130;INVOICECOST;MIGRATED;CNT=97309;2024-12-20-04.48.14.155000
1589;DB2_0308_PO_MATRECTRANS_CLEAN;1132;MATRECTRANS;NOMATCH-ITEM;CNT=0;2024-12-20-04.51.48.112000
1590;DB2_0308_PO_MATRECTRANS_CLEAN;1132;MATRECTRANS;MIGRATED;CNT=90655;2024-12-20-04.51.48.160000
1591;DB2_0308_PO_MATRECTRANS_CLEAN;1132;SERVRECTRANS;NOMATCH-ITEM;CNT=90655;2024-12-20-04.53.01.035000
1592;DB2_0308_PO_MATRECTRANS_CLEAN;1132;SERVRECTRANS;MIGRATED;CNT=27366;2024-12-20-04.53.01.077000
1593;DB2_0309_PO_ContractPurch_CLEAN;1133;CONTRACTPURCH (PRICE);MIGRATED;CNT=98;2024-12-20-04.53.17.787000
1594;DB2_0309_PO_ContractPurch_CLEAN;1133;CONTRACTPURCH (BLANKET);MIGRATED;CNT=5;2024-12-20-04.53.20.156000
1595;DB2_0311_PO_MATRECTRANS_TR_ITEMS_;1134;MATRECTRANS (TR_ITEMS);MIGRATED;CNT=34721;2024-12-20-04.53.40.355000
1596;DB2_0311_PO_MATRECTRANS_TR_ITEMS_;1134;MATRECTRANS (TR_ITEMS);NOMATCH-ITEM;CNT=0;2024-12-20-04.53.40.358000
1472;DB2_0401_WO_Workorder_CLEAN;1103;WORKORDER (ROUTE);NOMATCH-MAINTENTITY;CNT= 232;2024-12-20-02.30.36.610000
1473;DB2_0401_WO_Workorder_CLEAN;1103;WORKORDER (ROUTE);NOMATCH-REPBY;CNT= 2556;2024-12-20-02.30.37.844000
1475;DB2_0401_WO_Workorder_CLEAN;1103;WORKORDER (ROUTE);NOMATCH-COSTCENTER;CNT= 0;2024-12-20-02.41.22.337000
1481;DB2_0401_WO_Workorder_CLEAN;1103;WORKORDER (ROUTE);MIGRATED;CNT=146598;2024-12-20-02.45.04.835000
1482;DB2_0401_WO_Workorder_CLEAN;1103;WORKORDER;NOMATCH-MAINTENTITY;CNT= 0;2024-12-20-02.45.35.600000
1484;DB2_0401_WO_Workorder_CLEAN;1103;WORKORDER;NOMATCH-REPBY;CNT= 32212;2024-12-20-02.51.43.738000
1497;DB2_0401_WO_Workorder_CLEAN;1103;WORKORDER;NOMATCH-COSTCENTER;CNT= 0;2024-12-20-03.12.24.568000
1498;DB2_0401_WO_Workorder_CLEAN;1103;WORKORDER;MIGRATED;CNT=255286;2024-12-20-03.16.41.806000
1499;DB2_0403_WO_LabTrans_LaborCraftRate_CLEAN;1113;LABTRANS;MIGRATED;CNT=912584;2024-12-20-03.34.29.489000
1500;DB2_0403_WO_LabTrans_LaborCraftRate_CLEAN;1113;LABORCRAFTRATE;MIGRATED;CNT=1093;2024-12-20-03.35.13.333000
1506;DB2_0405_WO_SR_CLEAN;1114;SR;NOMATCH-MAINTENTITY;CNT= 34398;2024-12-20-03.53.28.874000
1514;DB2_0405_WO_SR_CLEAN;1114;SR;NOMATCH-REQBY;CNT= 587724;2024-12-20-04.00.18.743000
